번호,제목,저자,소속(발행)기관
1,해양관광유형과 관광자원 가치가 주민참여의도에 미치는 영향 : 당진시를 중심으로,이길호,경기대학교 관광전문대학원
2,해양경계획정 이전 권원중첩수역에서의 자원개발과 환경보호,이영주,연세대학교 대학원
3,국가관할권 이원지역 해양유전자원의 접근 및 이익공유에 관한 연구,조은영,중앙대학교 대학원
4,島嶼觀光資源開發이 海洋觀光産業에 미치는 經濟的 波及效果,김두성,부산대학교
5,해양관광 자원 개발에 대한 연구 : 중국 칭다오와 부산을 중심으로,장잉잉,경기대학교 대학원
6,지속가능한 해양관광 발전방안에 대한 연구 : 관광자원개발을 중심으로,김선종,연세대학교 행정대학원
7,여수지역 해양생물자원을 활용한 관광지 활성화에 관한 연구,권진구,전남대학교 대학원
8,海洋觀光資源開發에 관한 硏究 : 邊山半島를 中心으로,박명엽,경기대학교 대학원
9,국가관할권이원지역 해양생물자원의 이용과 규율 : UN해양법협약 원칙의 확장적 적용가능성을 중심으로,서진웅,성균관대학교
10,GIS기반 해양광물자원정보시스템 개발에 관한 연구,김동일,인하대학교 대학원
11,해양관광유형과 관광자원 가치가 주민참여의도에 미치는 영향 : 당진시를 중심으로,이길호,경기대학교 관광전문대학원
12,해양경계획정 이전 권원중첩수역에서의 자원개발과 환경보호,이영주,연세대학교 대학원
13,국가관할권 이원지역 해양유전자원의 접근 및 이익공유에 관한 연구,조은영,중앙대학교 대학원
14,島嶼觀光資源開發이 海洋觀光産業에 미치는 經濟的 波及效果,김두성,부산대학교
15,해양관광 자원 개발에 대한 연구 : 중국 칭다오와 부산을 중심으로,장잉잉,경기대학교 대학원
16,지속가능한 해양관광 발전방안에 대한 연구 : 관광자원개발을 중심으로,김선종,연세대학교 행정대학원
